,open,close,high,low,vol
2019-06-28,2951.42,2941.76,2954.92,2912.99,10444346069.0
2019-07-05,2971.41,2990.41,2995.84,2952.22,6080110356.0
2019-07-12,2979.77,3013.77,3013.92,2963.44,8174849370.0
2019-07-19,3017.8,2976.61,3017.8,2973.09,8756215878.0
2019-07-26,2981.93,3025.86,3027.98,2976.65,9247966778.0
2019-08-02,3024.47,2932.05,3025.61,2914.11,11247822653.0
2019-08-09,2898.07,2918.65,2938.72,2822.12,11251149553.0
2019-08-16,2907.07,2888.68,2943.31,2825.51,10597348683.0
2019-08-23,2913.48,2847.11,2939.08,2834.97,8985902112.0
2019-08-30,2866.7,2926.46,2940.43,2853.05,8430385327.0
2019-09-06,2909.01,2978.71,2985.86,2891.85,6993933003.0
2019-09-13,2988.43,3007.39,3020.74,2957.01,10442022097.0
2019-09-20,2996.41,2992.07,3021.99,2978.57,10204224154.0
2019-09-27,2983.5,2961.79,3007.98,2945.53,8723088452.0
2019-10-04,2967.07,2952.01,2992.53,2855.94,9162517220.0
2019-10-11,2944.23,2970.27,2993.28,2892.66,8322295561.0
2019-10-18,2965.81,2986.2,3008.29,2962.94,8359327199.0
2019-10-25,2996.48,3022.55,3027.39,2991.21,9062866913.0
2019-11-01,3032.12,3066.91,3066.95,3023.19,9809535282.0
2019-11-08,3078.96,3093.08,3097.77,3065.89,10238606046.0
2019-11-15,3080.33,3120.46,3120.46,3075.82,8333924558.0
2019-11-22,3117.91,3110.29,3127.64,3091.41,9619837306.0
2019-11-29,3117.44,3140.98,3154.26,3117.44,6727728049.0
2019-12-06,3143.85,3145.91,3150.6,3070.33,8913912810.0
2019-12-13,3141.86,3168.8,3182.68,3126.09,9144209476.0
2019-12-20,3183.63,3221.22,3225.65,3183.63,11867238653.0
2019-12-27,3226.05,3240.02,3247.93,3220.51,4342733857.0
2020-01-03,3240.09,3234.85,3258.14,3212.03,6046099096.0
2020-01-10,3217.55,3265.35,3282.99,3214.64,9192878825.0
2020-01-17,3271.13,3329.62,3329.88,3268.43,9486614523.0
2020-01-24,3321.03,3295.47,3337.77,3281.53,8183826263.0
2020-01-31,3247.16,3225.52,3293.47,3214.68,11217635469.0
2020-02-07,3235.66,3327.71,3347.96,3235.66,10311900088.0
2020-02-14,3318.28,3380.16,3385.09,3317.77,9198330107.0
2020-02-21,3369.04,3337.75,3393.52,3328.45,7786944777.0
2020-02-28,3257.61,2954.22,3259.81,2855.84,17948416140.0
2020-03-06,2974.28,2972.37,3136.72,2901.54,17913173304.0
2020-03-13,2863.89,2711.02,2882.59,2478.86,23515989115.0
