Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
2017-10-31,-15969.0,-22083.0,6114.0,-2211.0,29780.0,27775.0,2005.0,11599.0
2017-11-30,-16434.0,-24047.0,7613.0,-3236.0,14936.0,13573.0,1363.0,-4734.0
2017-12-31,-38329.0,-43086.0,4757.0,-3620.0,13421.0,14602.0,-1181.0,-28528.0
2018-01-31,-7072.0,-24523.0,17451.0,50.0,47020.0,36937.0,10083.0,39998.0
2018-02-28,-8367.0,-19556.0,11189.0,-3612.0,48.0,1133.0,-1085.0,-11931.0
2018-03-31,266.0,-12007.0,12273.0,-1999.0,11577.0,10081.0,1496.0,9844.0
2018-04-30,-9290.0,-12662.0,3372.0,-3913.0,6537.0,8492.0,-1956.0,-6666.0
2018-05-31,-8734.0,-15718.0,6984.0,-3814.0,7023.0,6287.0,736.0,-5525.0
2018-06-30,-19894.0,-24287.0,4392.0,-7136.0,10814.0,9450.0,1364.0,-16215.0
2018-07-31,-20871.0,-18866.0,-2005.0,-6144.0,17211.0,14035.0,3176.0,-9804.0
2018-08-31,-24453.0,-23101.0,-1352.0,-6353.0,13014.0,11158.0,1856.0,-17792.0
2018-09-30,-27929.0,-25452.0,-2476.0,-6215.0,11523.0,11759.0,-236.0,-22620.0
2018-10-31,-19030.0,-15090.0,-3940.0,-11351.0,-31398.0,-26989.0,-4408.0,-61778.0
2018-11-30,-25770.0,-17982.0,-7787.0,-12413.0,-26107.0,-21245.0,-4862.0,-64290.0
2018-12-31,-89350.0,-43885.0,-45464.0,-28308.0,-65554.0,-63573.0,-1981.0,-183212.0
2019-01-31,9475.0,3646.0,5829.0,-972.0,14418.0,6523.0,7895.0,22920.0
2019-02-28,-12577.0,-10832.0,-1745.0,-2654.0,35934.0,25041.0,10893.0,20704.0
2019-03-31,-24629.0,-19424.0,-5205.0,-6101.0,28933.0,21210.0,7723.0,-1797.0
2019-04-30,-42400.0,-26785.0,-15615.0,-4838.0,34461.0,28120.0,6342.0,-12777.0
2019-05-31,-8777.0,-12279.0,3501.0,-4220.0,14599.0,6918.0,7682.0,1602.0
2019-06-30,-36633.0,-27572.0,-9061.0,-4759.0,14349.0,7951.0,6398.0,-27043.0
2019-07-31,-41214.0,-34710.0,-6503.0,-2803.0,36474.0,27498.0,8976.0,-7543.0
2019-08-31,-22270.0,-23347.0,1078.0,-7636.0,8964.0,1185.0,7778.0,-20942.0
2019-09-30,-41931.0,-34404.0,-7526.0,-5468.0,24347.0,19474.0,4873.0,-23053.0
2019-10-31,-43293.0,-31180.0,-12113.0,-2641.0,28310.0,21159.0,7151.0,-17624.0
2019-11-30,-37575.0,-34004.0,-3571.0,-2367.0,34963.0,26420.0,8542.0,-4979.0
2019-12-31,-60133.0,-51261.0,-8871.0,-4926.0,36582.0,27595.0,8988.0,-28476.0
2020-01-31,51740.0,,31297.0,,20654.0,,10643.0,
2020-02-29,13064.0,,-1893.0,,-1677.0,,-216.0,
2020-03-31,7668.0,,20328.0,,31004.0,,-10675.0,
2020-04-30,46712.0,,11587.0,,22695.0,,-11108.0,
2020-05-31,31195.0,,-5196.0,,4418.0,,-9614.0,
2020-06-30,55680.0,,17988.0,,11848.0,,6140.0,
2020-07-31,47961.0,,9677.0,,3477.0,,6200.0,
2020-08-31,30660.0,,12056.0,,3397.0,,8658.0,
2020-09-30,33641.0,,19490.0,,11878.0,,7612.0,
2020-10-31,31566.0,,12368.0,,5063.0,,7305.0,
2020-11-30,91608.0,,79497.0,,61277.0,,18220.0,
2020-12-31,59387.0,,44466.0,,15079.0,,29386.0,
2021-01-31,62742.0,,41590.0,,7346.0,,34244.0,
2021-02-28,95524.0,,86921.0,,62459.0,,24462.0,
2021-03-31,89650.0,,81258.0,,62025.0,,19233.0,
2021-04-30,79631.0,,52826.0,,35850.0,,16976.0,
2021-05-31,68249.0,,45097.0,,27922.0,,17175.0,
2021-06-30,100067.0,,80591.0,,62217.0,,18374.0,
2021-07-31,53375.0,,37938.0,,23281.0,,14657.0,
2021-08-31,68113.0,,50031.0,,40264.0,,9767.0,
2021-09-30,58885.0,,45525.0,,28855.0,,16670.0,
2021-10-31,78753.0,,61396.0,,53162.0,,8235.0,
2021-11-30,67885.0,,53821.0,,41647.0,,12175.0,
2021-12-31,112606.0,,93327.0,,74241.0,,19086.0,
2022-01-31,32084.0,,35687.0,,12840.0,,22847.0,
2022-02-28,69776.0,,54915.0,,45298.0,,9617.0,
2022-03-31,94456.0,,64220.0,,55387.0,,8833.0,
2022-04-30,-5570.0,,-17151.0,,-23191.0,,6040.0,
2022-05-31,78952.0,,47797.0,,43745.0,,4052.0,
2022-06-30,43756.0,,41103.0,,29569.0,,11534.0,
2022-07-31,37629.0,,15209.0,,10552.0,,4657.0,
2022-08-31,41324.0,,29058.0,,31429.0,,-2372.0,
2022-09-30,21901.0,,13986.0,,14018.0,,-32.0,
2022-10-31,87984.0,,61729.0,,52717.0,,9012.0,
2022-11-30,67826.0,,44285.0,,28920.0,,15365.0,
2022-12-31,39336.0,,27269.0,,16176.0,,11094.0,
2023-01-31,45549.0,,23075.0,,2514.0,,20561.0,
2023-02-28,2220.0,,-436.0,,-8469.0,,8032.0,
2023-03-31,36321.0,,6639.0,,6281.0,,357.0,
2023-04-30,28996.0,,15356.0,,12722.0,,2634.0,
2023-05-31,30849.0,,13725.0,,8110.0,,5615.0,
2023-06-30,74980.0,,60600.0,,48470.0,,12130.0,
2023-07-31,57360.0,,42080.0,,34851.0,,7229.0,
2023-08-31,13628.0,,6488.0,,5076.0,,1412.0,
2023-09-30,37770.0,,28674.0,,29327.0,,-653.0,
2023-10-31,36186.0,,20097.0,,21599.0,,-1502.0,
2023-11-30,105399.0,,75203.0,,67704.0,,7500.0,
2023-12-31,127939.0,,110720.0,,90755.0,,19965.0,
2024-01-31,69112.0,,48941.0,,43908.0,,5032.0,
2024-02-29,45228.0,,37626.0,,28620.0,,9006.0,
2024-03-31,112136.0,,91607.0,,78541.0,,13066.0,
2024-04-30,27815.0,,10318.0,,6560.0,,3758.0,
2024-05-31,94838.0,,67364.0,,57845.0,,9518.0,
2024-06-30,74659.0,,48461.0,,36492.0,,11968.0,
2024-07-31,145588.0,,102870.0,,103614.0,,-744.0,
2024-08-31,63441.0,,29164.0,,30833.0,,-1669.0,
2024-09-30,90563.0,,60767.0,,45424.0,,15342.0,
2024-10-31,119519.0,,82466.0,,64166.0,,18300.0,
2024-11-30,156653.0,,127829.0,,125162.0,,2667.0,
2024-12-31,145299.0,,132323.0,,121434.0,,10890.0,
2025-01-31,94850.0,,57663.0,,54993.0,,2670.0,
2025-02-28,113522.0,,62140.0,,50062.0,,12077.0,
2025-03-31,90141.0,,59896.0,,43622.0,,16274.0,
2025-04-30,56394.0,,39585.0,,32990.0,,6594.0,
2025-05-31,78224.0,,42369.0,,23975.0,,18394.0,
2025-06-30,109525.0,,66597.0,,40253.0,,26345.0,
2025-07-31,113202.0,,81481.0,,57963.0,,23518.0,
2025-08-31,111050.0,,55179.0,,42375.0,,12804.0,
2025-09-30,141759.0,,88877.0,,60578.0,,28299.0,
2025-10-31,181839.0,,120474.0,,91443.0,,29031.0,
2025-11-30,148029.0,,101044.0,,75328.0,,25716.0,
2025-12-31,229424.0,,180567.0,,134142.0,,46425.0,
2026-01-31,152650.0,,91768.0,,26340.0,,65427.0,
2026-02-28,184710.0,,105125.0,,48502.0,,56623.0,
2026-03-31,110252.0,,72372.0,,47611.0,,24761.0,
2026-04-30,164067.0,,130406.0,,103113.0,,27293.0,
2026-05-31,183462.0,,113883.0,,94765.0,,19118.0,
