,open,close,high,low,vol
2022-06-10,44.44,40.11,46.94,39.82,140152741.0
2022-06-17,37.76,38.8,40.08,35.65,175960480.0
2022-06-24,39.93,45.83,45.99,39.35,130006452.0
2022-07-01,45.825,41.22,46.27,39.11,131406615.0
2022-07-08,40.57,46.86,48.12,39.84,124597826.0
2022-07-15,46.18,44.11,46.49,42.2,127039522.0
2022-07-22,45.25,46.25,49.34,43.44,128263135.0
2022-07-29,45.94,45.13,46.9,43.411,100983862.0
2022-08-05,44.49,50.07,51.15,44.015,111208693.0
2022-08-12,50.47,52.01,53.86,47.38,131373568.0
2022-08-19,51.55,44.69,52.67,44.49,112168572.0
2022-08-26,43.96,42.84,45.78,42.73,106342611.0
2022-09-02,41.9,40.59,43.4,39.79,119554218.0
2022-09-09,40.74,44.6,44.81,39.49,78603054.0
2022-09-16,44.92,42.58,45.68,41.86,126034921.0
2022-09-23,42.01,37.83,42.78,37.09,116442378.0
2022-09-30,37.78,37.73,40.26,37.33,119577703.0
2022-10-07,38.0,37.53,40.969,36.82,124168579.0
2022-10-14,37.6,33.99,37.6,33.74,128452825.0
2022-10-21,35.42,35.88,38.36,34.29,123919305.0
2022-10-28,35.635,38.89,39.498,34.055,127504913.0
2022-11-04,38.55,35.22,39.75,34.32,118833308.0
2022-11-11,35.54,40.4,40.93,32.51,173598239.0
2022-11-18,39.8,36.56,41.29,36.21,128826076.0
2022-11-25,36.16,36.0,36.53,34.27,78141868.0
2022-12-02,35.598,38.16,38.31,34.682,115194921.0
2022-12-09,37.63,34.65,38.18,33.85,111710729.0
2022-12-16,34.38,33.26,38.375,32.675,137467328.0
2022-12-23,33.11,30.97,33.26,30.59,103924169.0
2022-12-30,30.51,31.24,31.39,29.43,84573429.0
2023-01-06,31.84,31.37,32.15,30.02,89075866.0
2023-01-13,32.43,35.99,36.02,32.02,120690807.0
2023-01-20,36.22,36.5,38.01,34.435,98017180.0
2023-01-27,36.68,40.39,40.69,35.68,132985724.0
2023-02-03,39.7,42.85,45.46,38.463,187700842.0
2023-02-10,42.202,39.15,43.55,38.73,149648116.0
2023-02-17,39.28,41.86,43.76,38.57,177096737.0
2023-02-24,40.57,38.44,41.255,38.05,132950049.0
2023-03-03,39.14,40.46,40.705,37.62,107254638.0
2023-03-10,40.67,36.02,40.98,35.27,150931972.0
2023-03-17,35.6,38.68,39.485,34.81,184764753.0
2023-03-24,38.61,37.73,40.51,37.021,139331481.0
2023-03-31,38.33,40.34,40.445,36.96,93429935.0
2023-04-06,39.78,38.57,40.02,37.18,69422332.0
2023-04-14,37.91,38.79,39.84,37.55,84317078.0
2023-04-21,38.42,37.63,39.485,37.17,70096349.0
2023-04-28,37.58,35.92,37.9,34.97,71931222.0
2023-05-05,35.76,37.39,37.5,34.72,85922722.0
2023-05-12,37.44,37.68,39.43,36.97,70777779.0
2023-05-19,37.61,38.7,39.3,37.42,69081284.0
2023-05-26,38.86,39.1,41.28,38.16,99553126.0
2023-06-02,40.07,41.62,42.03,39.355,68451781.0
2023-06-09,41.58,42.51,43.84,41.03,79148335.0
2023-06-16,42.76,44.31,45.0,42.53,83349335.0
2023-06-23,44.01,42.14,44.71,41.505,51908348.0
2023-06-30,41.86,44.14,44.69,41.76,62454706.0
2023-07-07,44.52,43.73,45.43,42.749,42725328.0
2023-07-14,43.69,48.57,50.43,43.53,111647363.0
2023-07-21,48.57,47.93,51.33,47.39,86888823.0
2023-07-28,47.83,49.44,49.44,46.665,71920948.0
2023-08-04,49.78,45.38,50.489,45.29,87768906.0
2023-08-11,45.54,42.75,45.6,42.35,82323072.0
2023-08-18,42.24,40.38,42.94,39.32,73467127.0
2023-08-25,40.6,40.97,42.3,40.14,73964024.0
2023-09-01,41.36,43.62,44.33,40.87,63850120.0
2023-09-08,43.28,43.68,44.69,42.97,44336027.0
2023-09-15,44.22,43.06,45.16,42.72,55338951.0
2023-09-22,42.93,38.82,42.93,38.795,65086470.0
2023-09-29,38.55,39.67,40.245,38.135,78354892.0
2023-10-06,39.69,39.21,39.91,37.55,79643903.0
2023-10-13,38.47,37.77,40.81,37.565,65444524.0
2023-10-20,38.03,36.03,39.436,35.88,83675488.0
2023-10-27,35.67,34.1,37.96,34.07,89942754.0
2023-11-03,34.53,40.44,40.74,33.76,99220793.0
2023-11-10,40.68,39.73,41.05,38.74,102588150.0
2023-11-17,39.37,43.7,43.75,38.71,99907093.0
2023-11-24,43.85,44.88,45.12,43.61,48404211.0
2023-12-01,44.65,48.43,48.45,44.28,100629760.0
2023-12-08,48.35,49.18,49.695,47.5,95711790.0
2023-12-15,48.61,51.11,52.5,47.405,114155668.0
2023-12-22,50.687,53.01,53.575,50.56,89474625.0
2023-12-29,53.25,52.37,54.52,52.24,57607253.0
2024-01-05,51.8,48.9,51.84,48.07,85763374.0
2024-01-12,48.97,47.38,50.375,47.324,80677837.0
2024-01-19,46.712,46.28,47.18,45.02,67571776.0
2024-01-26,46.89,45.92,48.525,45.535,82699839.0
2024-02-02,46.19,46.66,48.185,44.99,99941532.0
2024-02-09,46.2,49.59,49.91,44.625,77021580.0
2024-02-16,49.6,50.33,52.06,47.39,88603102.0
2024-02-23,49.52,48.41,49.88,46.91,49416778.0
2024-03-01,48.44,51.14,52.33,48.38,61755558.0
2024-03-08,51.37,50.75,52.428,48.58,60676230.0
2024-03-15,50.94,48.66,51.8,48.15,60230580.0
2024-03-22,48.9,49.41,51.36,47.45,58514672.0
2024-03-28,49.42,50.08,50.96,49.385,35359732.0
2024-04-05,50.07,47.12,50.11,46.6,60787933.0
2024-04-12,47.69,46.51,48.85,46.315,54982258.0
2024-04-19,46.73,42.0,46.73,41.71,70968664.0
2024-04-26,42.19,44.07,44.83,41.575,60701323.0
2024-05-03,44.7,45.47,46.66,42.987,64365736.0
2024-05-10,45.92,42.92,46.61,42.85,50758399.0
2024-05-17,43.4,45.45,46.36,43.36,67317509.0
2024-05-24,45.39,44.38,45.635,43.35,40859403.0
